Type,Catégorie,Nom Commercial,Valeur Stratégique,Décisions Supportées,Sections Rapport,Impact Business,Priorité,Statut
1,Entité,COMPETITOR INTELLIGENCE,"Anticiper mouvements concurrentiels, identifier vulnérabilités exploitables","Positionnement produit, Pricing, Go-to-market, Arguments vente","Executive Brief | Profil Entreprise | Analyse SWOT | Offre Produit | Go-to-Market | Recommandations",★★★★★,P0,Existant
2,Entité,PRODUCT INTELLIGENCE,"Comprendre l'offre concurrente, identifier gaps fonctionnels","Roadmap produit, Feature prioritization, Pricing, Battle cards","Synthèse Produit | Analyse Fonctionnelle | Modèle Économique | Écosystème | Roadmap | Recommandations",★★★★★,P1,À créer
3,Entité,CLIENT INTELLIGENCE,"Identifier segments à cibler, clients à conquérir","Ciblage commercial, Stratégie ABM, Expansion marché","Vue d'Ensemble | Segmentation | Profils Types | Opportunités | Stratégie Conquête",★★★★☆,P2,À créer
4,Entité,EXECUTIVE INTELLIGENCE,"Anticiper décisions stratégiques via mouvements leadership","Networking stratégique, Recrutement, Partenariats","Profil Exécutif | Réseau et Influence | Track Record | Implications Stratégiques",★★★☆☆,P3,À créer
5,Entité,MARKET INTELLIGENCE,"Comprendre dynamiques marché, orienter expansion","Expansion géographique, Investissement, Pivots stratégiques","Vue Marché | Paysage Concurrentiel | Environnement | Opportunités/Risques | Recommandations",★★★★☆,P1,À créer
6,Dimension,INDUSTRY DYNAMICS,"Anticiper transformations secteur, identifier relais croissance","Stratégie long-terme, Investissements R&D, Pivots","Forces de Porter | Tendances PESTEL | Disruptions | Scénarios Futurs | Implications",★★★☆☆,P3,À créer
7,Dimension,TECHNOLOGY ASSESSMENT,"Évaluer maturité technologique, anticiper disruptions","Build vs Buy, Partenariats tech, Modernisation","Stack Technologique | Cloud/Scalabilité | Innovation R&D | Intégrations API | Recommandations Tech",★★☆☆☆,P4,À créer
8,Dimension,SECURITY & COMPLIANCE,"Gérer risques réglementaires et sécuritaires","Conformité, Certifications, Due diligence","Certifications | Conformité Réglementaire | Architecture Sécurité | Incidents | Gap Analysis",★★☆☆☆,P4,À créer
9,Dimension,M&A INTELLIGENCE,"Identifier opportunités acquisition, anticiper consolidation","Acquisitions, Investissements, Défense stratégique","Deal Flow | Transactions Clés | Multiples/Valorisations | Cibles Potentielles | Synergies/Risques",★★★★☆,P2,À créer
10,Dimension,INNOVATION TRACKING,"Anticiper évolutions produits, protéger avance techno","Roadmap produit, Brevets, Partenariats R&D","Roadmaps Analysées | Brevets Déposés | Investissements R&D | Partenariats | Radar Innovation",★★★☆☆,P3,À créer
11,Dimension,ECOSYSTEM MAPPING,"Vue 360° paysage concurrentiel et partenarial","Positionnement, Alliances, Stratégie écosystème","Market Map | Matrice Positionnement | Réseau Partenariats | Chaîne de Valeur | Opportunités Alliance",★★★★☆,P2,À créer
